,protein,accuracy,precision,recall,f1,auc,ap,count,tn,fp,fn,tp
0,ADRB2,0.6818181818181818,0.0,0.0,0.0,0.3488372093023256,0.022727272727272728,1,30,13,1,0
1,ESR_ago,0.6818181818181818,0.06666666666666667,1.0,0.125,0.8372093023255813,0.06666666666666667,1,29,14,0,1
2,FTO,0.8863636363636364,1.0,0.7368421052631579,0.8484848484848485,0.868421052631579,0.8504784688995215,19,25,0,5,14
3,IDH1,0.75,0.21428571428571427,1.0,0.35294117647058826,0.8658536585365854,0.21428571428571427,3,30,11,0,3
4,MTORC1,0.7045454545454546,0.3888888888888889,0.7777777777777778,0.5185185185185185,0.7317460317460317,0.3479236812570146,9,24,11,2,7
5,OPRK1,0.6590909090909091,0.06666666666666667,0.5,0.11764705882352941,0.5833333333333334,0.05606060606060606,2,28,14,1,1
6,PPARG,0.75,0.15384615384615385,1.0,0.26666666666666666,0.8690476190476191,0.15384615384615385,2,31,11,0,2
7,TP53,0.7727272727272727,0.4,0.8571428571428571,0.5454545454545454,0.806949806949807,0.36558441558441557,7,28,9,1,6
8,-,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0,36,8,0,0
9,average,0.744949494949495,0.2544837878171211,0.6524180822426436,0.30830142382429965,0.6568220015414291,0.230841442147485,44,-1,-1,-1,-1
10,weighted_avg,0.7959710743801653,0.6011488511488512,0.7727272727272727,0.6036025360557447,0.8050620983264206,0.5227627170808989,44,-1,-1,-1,-1
